stem	def	local	llm	merged
sapihatosa	一次性拿兩個東西的用具。	拿	兩個	兩個,拿
patifarang	腿跨在他人身上。	腿,跨	他人,身上	他人,腿,跨,身上
sapiredek	施魔法、法術憑藉的手段。	施魔法,法術,藉	施法	施法,施魔法,法術
sakoriyat	有意識地皺眉頭、睜大眼睛。	地皺,眉頭,睜大眼睛,識	皺眉,睜眼	地皺,皺眉,眉頭,睜大眼睛,睜眼,識
sahatirahan	就把…按照那樣子做。	子	按照	子,按照
ngerotngerotsa	（啃吃硬果的聲音）吭哧吭哧地響著。	響著	啃吃,硬果,聲音	啃吃,硬果,聲音,響著
sapilimpo	摘蓮霧果的用具。	摘蓮,霧果	蓮霧	摘蓮,蓮霧,霧果
nawhanen	為何要這麼做。	要	為何	為何,要
alamitatoyay	每人手中都提著。；指手中各有提攜的主事者（人）。	主事者,人,提攜,提著	每人	主事者,提攜,提著,每人
'ik'iksa	嗷嗷叫起來、嗷嗷叫喚著。	喚著	嗷嗷叫	喚著,嗷嗷叫
hamiso	做為你的，準備給你的。	做為你的	你的	你的,做為你
ngotfol	噘著嘴、翹著嘴。	噘著嘴,翹著嘴	噘嘴,翹嘴	噘嘴,噘著嘴,翹嘴,翹著嘴
tolong	討論〈日語借詞〉。	討論	日語借詞	日語借詞,討論
mapatowami	得到麵條吃。	吃,得到	麵條	吃,得到,麵條
maanan	屬什麼種類、類別。	屬,類別	因此無法進行提取	因此無法進行提取,屬,類別
sakacikarataw	希望出現凹凸不平。	出現,希望	凹凸不平	凹凸不平,出現,希望
kamila	照相機〈英語借詞〉。	英語	照相機	照相機,英語
kirkirsa	唧唧地嚮著，嘩啦啦地嚮著。	著	唧唧,嘩啦啦	唧唧,嘩啦啦,著
pacepo'ay	放置在最下游了。；指把東西放置；最下游的人。	放置	最下游	放置,最下游
mipakatooray	能夠跟上了，跟得上了。；指跟隨者，有能力跟隨的（人）。	人,跟得上了,跟隨,跟隨者	跟上	跟上,跟得上,跟隨
pikitel	用手指摘斷枝葉。	指摘	手指,摘斷,枝葉	手指,指摘,摘斷,枝葉
mihatoloan	一次把…拿三個了。；指一次拿了三個的（東西）。	拿	三個	三個,拿
sapiyopiyoksa	不停地頓足的樣子，頓足踏蹄地。	地頓	頓足,頓足踏蹄	地頓,頓足
caherasen	向某一目標衝過去。	標衝	目標	標衝,目標
sapihatolo	一次想拿三個東西。	想,拿	三個	三個,想,拿
masa^eda^edahay	輕聲細語的了，被輕輕地說（唱）出來了。；指輕聲細語者。	唱,語者,說,輕輕	輕聲細語	唱,語者,說,輕聲細語,輕輕
masakomotay	被扭曲，彎曲了。；指被扭曲的；（對象）。	彎曲了,被扭曲,被扭曲的	定義部分為對象	定義部分為對象,彎曲,被扭曲
pisakakkakan	發出嘎嘎叫聲的地方、時間。	發出	嘎嘎叫聲	嘎嘎叫聲,發出
mihacecayay	一次拿一個了，一個一個去拿了。；指一次拿一個，或一個一個去拿的（人）。	人,拿	一個	一個,拿
sakaci'idocaw	想攜帶長矛。	帶長,想,攜	長矛	帶長,想,攜,長矛
kaenhan	就把（食物）吃了。	就把吃了,食物	吃了	吃了,就把吃,食物
mipakalawacay	正在放置邊沿上了，安排在邊沿上了。；指把東西放置邊沿的（人）。	人,安排,放置	邊沿	安排,放置,邊沿
sapacelol	供人更換用的東西。	供人,換用	更換	供人,換用,更換
piha'onoc	準備做扁擔用吧。	擔用	扁擔	扁擔,擔用
sakacitalipaw	希望圍裙子。	希望,裙子	圍裙	圍裙,希望,裙子
sapihacecayaw	想一次拿一個東西。	想,拿	一個,一次	一個,一次,想,拿
hontono	真的〈日語借詞〉。	〈日語借詞〉	真的	〈日語借詞〉,真的
kami	（排他性第一人稱代名詞，複數，基本格、主格形態） 我們。	我們	主格,基本格,第一人稱代名詞,複數	主格,基本格,我們,第一人稱代名詞,複數
fulang	泡沬。	泡沬	泡沫	泡沫,泡沬
pasi'amisay	向北了、朝向北方了。；指朝向北的（東西）。	向北了,朝向,朝向北的	北方	北方,向北,朝向
cacoroksa	逐一或逐次地輪流著。	地輪,流著	輪流,逐一,逐次	地輪,流著,輪流,逐一,逐次
masakopiday	籐盒被製成了。；指製成籐盒的、或形如籐盒的（東西）。	如,形	籐盒	如,形,籐盒
halokamo	包括你們在內。	包括	你們	你們,包括
sakacitalip	圍裙子的緣故。	緣故,裙子	圍裙	圍裙,緣故,裙子
tapilac	一刀削出一片來。	出	一刀,一片	一刀,一片,出
papadapadangsa	處於大家互相幫忙的樣子、大家互相幫忙起來。	大家,幫忙	互相幫助	互相幫助,大家,幫忙
sakaci'idoc	攜帶長矛的原因。	帶長,攜	長矛	帶長,攜,長矛
masamatiniay	這個時候了，成為這樣了。	成為	這個時候,這樣	成為,這個時候,這樣
kacomikay	使之跑步的。；（表促使、命令）請跑吧。	跑吧,跑步	請跑	請跑,跑吧,跑步
pipatalasekal	送到岸上吧。；送到岸上的。	送到	岸上	岸上,送到
pacepo'	放置在最下游。	放置	下游	下游,放置
sapipatowami	給麵條（吃）使用的器具。	吃	麵條	吃,麵條
pihatosaan	一次拿兩個東西的地點、時間。	拿	兩個東西	兩個東西,拿
usuy	慢，遲到〈日語借詞〉。	慢	遲到	慢,遲到
sakalo'ko'sa	咕嘟咕嘟地響著。	響著	咕嘟	咕嘟,響著
caherashan	就向某一目標衝過去。	標衝	目標	標衝,目標
pakahotay	正在抓一把東西給人了。；指抓一把東西給人的人。	人,抓	一把	一把,抓
tala'amisen	送到北方吧！	送到	北方	北方,送到
sapipakamaro'aw	想讓他人坐（住）。	住,坐,想	他人	他人,住,坐,想
kodihac	空的，空殻。	空殻,空的	空殼	空殻,空殼,空的
mipalatang	用斗、升等器具量穀物。	升,物,用斗,量	穀物	升,用斗,穀物,量
sapihawhawaw	想低聲耳語，想說悄悄話。	想,說	低聲,悄悄話,耳語	低聲,悄悄話,想,耳語,說
masapo'opo'o	形成一節一節的，呈一節一節的形狀。	呈,形成	一節	一節,呈,形成
mihatosaay	一次拿著二個東西了。；指一次拿二個的人。	拿,拿著	兩個東西	兩個東西,拿
rapoten	把…牽連、涉及。；包含在內。	包含在內,把…牽連,涉及	我無法進行提取	包含在內,我無法進行提取,把…牽連,涉及
sapar	痲痺。	痲痺	麻痺	痲痺,麻痺
sa'ako'akongsa	呈彎彎曲曲的樣態。	呈,曲曲,樣態	彎曲	呈,彎曲,曲曲,樣態
mito'ongan	把…用頭頂著了。；指用頭頂著的；（東西）。	用頭,頂著	定義部分為東西	定義部分為東西,用頭,頂著
sapatopin	供重罰用的。	供重,罰用	重罰	供重,罰用,重罰
sapikahotaw	想抓一把東西。	想,抓	一把	一把,想,抓
matongarefay	被野獸張口咬了。；指被張口咬的（對象）。；越來越…的。	咬,張口,張口咬,野獸	越來越	咬,張口,越來越,野獸
alaca'nga'ngaw	一個個相繼張眼看。	眼看,繼張	張眼	張眼,眼看,繼張
hatosa	兩個（東西）一起拿，一次同時拿兩個（東西）。	拿	一次,一起,兩個,同時	一次,一起,兩個,同時,拿
kitenok	從中間開始做。	開始	中間	中間,開始
mipaca'efasay	正在使之流溢出來了。；指使液體溢出的（人）。	人,液體,溢出	流溢	流溢,液體,溢出
samilmilmil	不停地撫弄。	地撫	撫弄	地撫,撫弄
kolomot	同時具有。	同時具有	因此無法進行提取	同時具有,因此無法進行提取
makisa^emel	被置於蔭涼處乘涼。；或指輕鬆事、專撿輕鬆的。	乘,事,撿,於蔭涼,涼,置	輕鬆,輕鬆事	乘,撿,涼,置,輕鬆
hatakar	準備做連床用。	床用	連床	床用,連床
tefodsa	呈煙塵飛揚的狀態。	呈	煙塵,飛揚	呈,煙塵,飛揚
saforikat	瞪著眼。；撐開的用具。	撐開,瞪著眼	瞪眼	撐開,瞪眼,瞪著眼
